"goods_nomenclature_sid","goods_nomenclature_item_id","producline_suffix","validity_start_date","validity_end_date","description","number_indents","goods_nomenclature_description_period_sid","desc_validity_start_date","desc_validity_end_date","nice_description","hs_chapter","hs_section","node","leaf","significant_digits"
94071,"0102292950","80",2012-01-01 00:00:00,,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",6,116338,2012-01-01 00:00:00,," - - - - - - Bulls of the Schwyz, Fribourg and spotted Simmental breeds","01",1,"0102292950","1",10
94072,"0102292990","80",2012-01-01 00:00:00,,Other,6,116339,2012-01-01 00:00:00,, - - - - - - Other,"01",1,"0102292990","1",10
94073,"0102294100","10",2012-01-01 00:00:00,,Of a weight exceeding 160|kg but not exceeding 300|kg,4,147435,2019-01-01 00:00:00,, - - - - Of a weight exceeding 160|kg but not exceeding 300|kg,"01",1,"01022941","0",8
94074,"0102294100","80",2012-01-01 00:00:00,,For slaughter,5,121703,2014-01-01 00:00:00,, - - - - - For slaughter,"01",1,"01022941","1",8
94075,"0102294900","80",2012-01-01 00:00:00,,Other,5,121704,2014-01-01 00:00:00,, - - - - - Other,"01",1,"01022949","0",8
94076,"0102294910","80",2012-01-01 00:00:00,,"Young male bovine animals, intended for fattening",6,116343,2012-01-01 00:00:00,," - - - - - - Young male bovine animals, intended for fattening","01",1,"0102294910","1",10
94077,"0102294920","80",2012-01-01 00:00:00,,"Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",6,116344,2012-01-01 00:00:00,," - - - - - - Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed","01",1,"0102294920","1",10
94078,"0102294930","80",2012-01-01 00:00:00,,Heifers and cows of the Schwyz and Fribourg breeds,6,116345,2012-01-01 00:00:00,, - - - - - - Heifers and cows of the Schwyz and Fribourg breeds,"01",1,"0102294930","1",10
94079,"0102294940","80",2012-01-01 00:00:00,,Heifers and cows of the spotted Simmental breed,6,116346,2012-01-01 00:00:00,, - - - - - - Heifers and cows of the spotted Simmental breed,"01",1,"0102294940","1",10
94080,"0102294950","80",2012-01-01 00:00:00,,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",6,116347,2012-01-01 00:00:00,," - - - - - - Bulls of the Schwyz, Fribourg and spotted Simmental breeds","01",1,"0102294950","1",10
