"measure_sid","reformat_regulation_id","regulation_id","regulation_id_full","goods_nomenclature_item_id","additional_code_type_id","additional_code_id","measure_type_id","geographical_area_id","validity_start_date","validity_end_date","effective_end_date","ordernumber","national","reduction_indicator","measure_generating_regulation_role","measure_generating_regulation_id","justification_regulation_role","justification_regulation_id","stopped_flag","geographical_area_sid","goods_nomenclature_sid","additional_code_sid","export_refund_nomenclature_sid","regulation_group_id","measure_sid","duty_expression_id","duty_amount","monetary_unit_code","measurement_unit_code","measurement_unit_qualifier_code","oid","operation","operation_date","added_by_id","added_at","national","status","workbasket_id","workbasket_sequence_number","original_duty_expression_id"
3632810,D0001/94,D940001,D9400010,"0302990045",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,102963,,,PRF,3632810,"01",2.4,,,,2029784,C,,,,,,,,
3542351,D0001/94,D940001,D9400010,"0302990050",,,"142","2012",2017-01-01 00:00:00,,,,,,1,D9400010,,,false,56,102855,,,PRF,3542351,"01",2.2,,,,1983969,C,,,,,,,,
3632946,D0001/94,D940001,D9400010,"0302990060",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,102856,,,PRF,3632946,"01",3,,,,2029909,C,,,,,,,,
3632726,D0001/94,D940001,D9400010,"0302990065",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,103023,,,PRF,3632726,"01",0,,,,2029701,C,,,,,,,,
3632947,D0001/94,D940001,D9400010,"0302990071",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,103019,,,PRF,3632947,"01",3,,,,2029910,C,,,,,,,,
3632727,D0001/94,D940001,D9400010,"0302990079",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,103020,,,PRF,3632727,"01",0,,,,2029702,C,,,,,,,,
3632728,D0001/94,D940001,D9400010,"0302990080",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,103021,,,PRF,3632728,"01",0,,,,2029703,C,,,,,,,,
3632729,D0001/94,D940001,D9400010,"0302990085",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,103022,,,PRF,3632729,"01",0,,,,2029704,C,,,,,,,,
3632948,D0001/94,D940001,D9400010,"0302990090",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,102857,,,PRF,3632948,"01",3,,,,2029911,C,,,,,,,,
3632924,D0001/94,D940001,D9400010,"0303141000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94027,,,PRF,3632924,"01",2.7,,,,2029887,C,,,,,,,,
3632999,D0001/94,D940001,D9400010,"0303142000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94028,,,PRF,3632999,"01",3.6,,,,2029962,C,,,,,,,,
3633000,D0001/94,D940001,D9400010,"0303149000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94029,,,PRF,3633000,"01",3.6,,,,2029963,C,,,,,,,,
3632925,D0001/94,D940001,D9400010,"0303190000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94032,,,PRF,3632925,"01",2.7,,,,2029888,C,,,,,,,,
3632811,D0001/94,D940001,D9400010,"0303230000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94135,,,PRF,3632811,"01",2.4,,,,2029785,C,,,,,,,,
3632812,D0001/94,D940001,D9400010,"0303240000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94136,,,PRF,3632812,"01",2.4,,,,2029786,C,,,,,,,,
3632813,D0001/94,D940001,D9400010,"0303250000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94137,,,PRF,3632813,"01",2.4,,,,2029787,C,,,,,,,,
3632814,D0001/94,D940001,D9400010,"0303290000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,94139,,,PRF,3632814,"01",2.4,,,,2029788,C,,,,,,,,
3632730,D0001/94,D940001,D9400010,"0303311000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,28612,,,PRF,3632730,"01",0,,,,2029705,C,,,,,,,,
3632731,D0001/94,D940001,D9400010,"0303313000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,28615,,,PRF,3632731,"01",0,,,,2029706,C,,,,,,,,
3633153,D0001/94,D940001,D9400010,"0303319000",,,"142","2012",2017-09-21 00:00:00,,,,,,1,D9400010,,,false,56,28616,,,PRF,3633153,"01",4.5,,,,2030078,C,,,,,,,,
